級,分野,問題文,前後,単位,正解単位,解答,解説
3,換算,"36米ガロンは何リットルか。ただし、1米ガロン＝3.785Ｌとする。（リットル未満4捨5入）",2,"米ガロン|Ｌ","Ｌ",136,"米ガロンとＬで単位が違うので掛け算です。|36×3.785"
3,割合,"¥7,000は¥28,000の何パーセントか。",2,"％|￥","％",25,"「ＡはＢの～」なので「Ａ÷Ｂ」です。|7,000÷28,000"
3,割合,"¥21,000は¥35,000の何割にあたるか。",2,"割|￥","割",6,"「ＡはＢの～」なので「Ａ÷Ｂ」です。|21,000÷35,000"
3,割合,"¥309,600は¥180,000の何割何分増しか。（１割２分なら、1.2と入力してください）",2,"割|％|","割",7.2,"「ＡはＢの～」なので「Ａ÷Ｂ」で、「増し」なので、増えた分（小数の部分）を答えます。|309,600÷180,000-1"
3,割合,"¥482,800は¥340,000の何割何分増しか。（１割２分なら、1.2と入力してください）",2,"割|％","割",4.2,"「ＡはＢの～」なので「Ａ÷Ｂ」で、「増し」なので、増えた分（小数の部分）を答えます。|482,800÷340,000-1"
3,割合,"¥235,200は¥140,000の何割何分増しか。（１割２分なら、1.2と入力してください）",2,"割|％|","割",6.8,"「ＡはＢの～」なので「Ａ÷Ｂ」で、「増し」なので、増えた分（小数の部分）を答えます。|235,200÷140,000-1"
3,割合,"¥552,000は¥460,000の何パーセント増しか。",2,"割|％","％",20,"「ＡはＢの～」なので「Ａ÷Ｂ」で、「増し」なので、増えた分だけ（小数部分）を答えます。|552,000÷460,000-1"
3,割合,"¥68,000は¥85,000の何パーセント引きか。",2,"割|％","％",20,"「ＡはＢの～」なので「Ａ÷Ｂ」で、「引き」なので、減った分を答えます。|68,000÷85,000＝0.8　→　1-0.8＝0.2（20％）"
3,割合,"¥63,000は¥90,000の何パーセント引きか。",2,"割|％","％",30,"「ＡはＢの～」なので「Ａ÷Ｂ」で、「引き」なので、減った分を答えます。|63,000÷90,000＝0.7　→　1-0.7＝0.3（30％）"
3,割合,"ある会社の先月の売上高は¥220,000で、今月の売上高は¥253,000であった。先月に比べて売上高は何パーセント増加したか。",2,"割|％","％",15,"「今月は先月と～」と解釈すると「今月÷先月」となります。また、増加した分だけを答えればよいので注意してください。|253,000÷220,000　-1"
3,割合,"¥910,000の64％はいくらか。",1,"￥|＄|€|￡","￥",582400,"64％を小数にすると、0.64となります。|910,000×0.64"
3,割合,"¥620,000の8％はいくらか。",1,"￥|＄|€|￡","￥",49600,"8％を小数にすると、0.08となります。|620,000×0.08"
3,割合,"¥830,000の94％はいくらか。",1,"￥|＄|€|￡","￥",780200,"94％を0.94にして掛けます。|830,000×0.94"
3,割合,"¥820,000の97％はいくらか。",1,"￥|＄|€|￡","￥",795400,"97％を小数にすると、0.97となります。|820,000×0.97"
3,割合,"¥120,000の42％増しはいくらか。",1,"￥|＄|€|￡","￥",170400,"42％を小数にすると、0.42で「増し」なので「1+」です。|120,000×1.42"
3,割合,"¥460,000の15％引きはいくらか。",1,"￥|＄|€|￡","￥",391000,"15％を小数にすると、0.15で「引き」なので「1-」です。|460,000×0.85"
3,割合,"¥350,000の24％はいくらか。",1,"￥|＄|€|￡","￥",84000,"24％を小数にすると、0.24となります。|350,000×0.24"
3,割合,"¥540,000の35％増しはいくらか。",1,"￥|＄|€|￡","￥",729000,"35％を小数にすると、0.35で「増し」なので「1.35」となります。|540,000×1.35"
3,割合,"¥85,000の25％引きはいくらか。",1,"￥|＄|€|￡","￥",63750,"25％を小数にすると、0.25で「引き」なので「1-0.25＝0.75」となります。|85,000×0.75"
3,割合,"ある金額の3割が¥144,000であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",480000,"「ある金額の」は逆算なので割り算です。3割を小数にすると、0.3です。|144,000÷0.3"
3,割合,"ある金額の2割5分が¥21,000であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",84000,"「ある金額の」は逆算なので割り算です。2割5分を小数にすると、0.25です。|21,000÷0.25"
3,割合,"ある金額の2割増しが¥780,000であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",650000,"「ある金額の」は逆算なので割り算です。「増し」なので1+0.2で1.2です。|780,000÷1.2"
3,割合,"ある金額の49％増しが¥551,300であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",370000,"「ある金額の」は逆算なので割り算です。「増し」なので「1+」です。|551,300÷1.49"
3,割合,"ある金額の16％引きが¥781,200であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",930000,"「ある金額の」は逆算なので割り算です。「引き」なので「1-」です。|781,200÷0.84"
3,割合,"ある金額の1割2分増しが¥582,400であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",520000,"「ある金額の」は逆算なので割り算です。「増し」なので「1.12」です。|582,400÷1.12"
3,割合,"ある金額の38％引きが¥279,000であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",450000,"「ある金額の」は逆算なので割り算です。「引き」なので、「1-0.38」で0.62です。|279,000÷0.62"
3,割合,"ある金額の15%引きが¥340,000であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",400000,"「ある金額の」は逆算なので割り算です。「引き」なので、「1-0.15」で0.85です。|340,000÷0.85"
3,割合,"ある金額の54％引きが¥197,800であった。ある金額はいくらか。",1,"￥|＄|€|￡","￥",430000,"「ある金額の」は逆算なので割り算です。「引き」なので、「1-0.54」で0.46です。|197,800÷0.46"
3,割合,"あるイベントの昨日の来場者数は53,000人で、本日の来場者数は昨日より24％増加した。本日の来場者数は何人か。",2,"人|％","人",65720,"昨日→本日と時間が進むときは掛け算です。「増加」なので「1+」です。|53,000×1.24"
3,割合,"ある自動車会社の昨年の販売台数は130,000台で、今年の販売台数は昨年より29％減少した。今年の販売台数は何台か。",2,"￥|台|％","台",92300,"昨年→今年と時間が進むときは掛け算です。「減少」なので「1-」です。|130,000×0.71"
3,割合,"ある飲食店チェーンの先月の来客者数は310,000人で、今月の来客者数は先月より26％増加した。今月の来客者数は何人か。",2,"人|％","人",390600,"先月→今月と時間が進むときは掛け算です。「増加」なので「1+」です。|310,000×1.26"
3,単利,"元金¥410,000を年利率2.4％で7か月間借りると、期日に支払う利息はいくらか。",1,"￥|＄|€|￡","￥",5740,"元金×利率×期間÷12で求めます。|410,000×0.024×7÷12"
3,単利,"元金¥190,000を年利率2.8％で1年6か月借りると、利息はいくらか。",1,"￥|＄|€|￡","￥",7980,"元金×利率×期間÷12で求めます。1年は12か月なので、18か月となります。|190,000×0.028×18÷12"
3,単利,"¥650,000を年利率3.9％で8か月間貸すと、利息はいくらか。",1,"￥|＄|€|￡","￥",16900,"元金×利率×期間÷12で求めます。|650,000×0.039×8÷12"
3,単利,"元金¥760,000を年利率4.5％で1年5か月借りると、利息はいくらか。",1,"￥|＄|€|￡","￥",48450,"元金×利率×期間÷12で求めます。1年は12か月なので、17か月となります。|760,000×0.045×17÷12"
3,単利,"¥340,000を年利率2.4％で1年3か月間貸すと、利息はいくらか。",1,"￥|＄|€|￡","￥",10200,"元金×利率×期間÷12で求めます。1年は12か月なので、15か月となります。|340,000×0.024×15÷12"
3,単利,"元金¥810,000を年利率5.3％で1年7か月間借りると、利息はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",67972,"元金×利率×期間÷12で求めます。1年は12か月なので、19か月となります。|810,000×0.053×19÷12"
3,単利,"元金¥420,000を年利率1.9％で70日間借りると、利息はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",1530,"元金×利率×期間÷365で求めます。|420,000×0.019×70÷365"
3,単利,"¥610,000を年利率3.4％で146日間貸すと、利息はいくらか。",1,"￥|＄|€|￡","￥",8296,"元金×利率×期間÷365で求めます。|610,000×0.034×146÷365"
3,単利,"¥210,000を年利率5.2％で67日間貸すと、利息はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",2004,"元金×利率×期間÷365で求めます。|210,000×0.052×67÷365"
3,単利,"¥790,000を年利率2.9％で108日間借りると、期日に支払う利息はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",6778,"元金×利率×期間÷365で求めます。|790,000×0.029×108÷365"
3,単利,"元金¥940,000を年利率4.6％で9月11日から11月5日まで借りると、利息はいくらか。（片落とし、円未満切り捨て）",1,"￥|＄|€|￡","￥",6515,"まず、日数（55日）を求めます。次に、元金×利率×期間÷365で求めます。|940,000×0.046×55÷365"
3,単利,"元金¥470,000を年利率2.8％で5月29日から9月7日まで借りると、利息はいくらか。（片落とし、円未満切り捨て）",1,"￥|＄|€|￡","￥",3641,"まず、日数（101日）を求めます。次に、元金×利率×期間÷365で求めます。|470,000×0.028×101÷365"
3,単利,"元金¥380,000を年利率1.8％で3月4日から5月12日まで貸すと、期日に受け取る利息はいくらか。（片落とし、円未満切り捨て）",1,"￥|＄|€|￡","￥",1293,"まずは日数（69日）を求めましょう。次に元金×利率×期間÷365で利息を求めます。|380,000×0.018×69÷365"
3,単利,"¥690,000を年利率4.6％で52日間借り入れると、期日に支払う利息はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",4521,"元金×利率×期間÷365で求めます。|690,000×0.046×52÷365"
3,単利,"¥940,000を年利率1.9％で92日間貸すと、期日に受け取る利息はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",4501,"元金×利率×期間÷365で求めます。|940,000×0.019×92÷365"
3,単利,"元金¥940,000を年利率4.6％で9月11日から11月5日まで借りると、利息はいくらか。（片落とし、円未満切り捨て）",1,"￥|＄|€|￡","￥",6515,"日数を求めて（55日）、元金×利率×期間÷365で求めます。|940,000×0.046×55÷365"
3,単利,"元金¥930,000を年利率0.4％で11か月間貸すと、期日に受け取る利息はいくらか。",1,"￥|＄|€|￡","￥",3410,"元金×利率×期間÷12で求めます。|930,000×0.004×11÷12"
3,単利,"元金¥650,000を年利率3.1％で8月14日から10月9日まで借り入れると、期日に支払う元利合計はいくらか。（片落とし，円未満切り捨て）",1,"￥|＄|€|￡","￥",653091,"期間（日数）がわからないので、先に求めましょう。|次に、元金×利率×期間÷365で利息を求めたあと、元金を足します。|650,000×0.031×56÷365　+650,000"
3,単利,"元金¥920,000を年利率3.7％で83日間貸し付けると、期日に受け取る元利合計はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",927740,"元金×利率×期間÷365で利息を求めて元金を足します。|920,000×0.037×83÷365+920,000"
3,単利,"¥830,000を年利率0.2％で115日間貸し付けると、期日に受け取る元利合計はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",830523,"元金×利率×期間÷12で利息を求めたあと、元金を足します。|830,000×0.002×115÷365　+830,000"
3,単利,"¥850,000を年利率0.3％で10か月間借りると、期日に支払う元利合計はいくらか。",1,"￥|＄|€|￡","￥",852125,"元金×利率×期間÷12で利息を求めて元金を足します。|850,000×0.003×10÷12+850,000"
3,単利,"元金¥550,000を年利率3.1％で1年4か月間借りると、元利合計はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",572733,"元金×利率×期間÷12で利息を求めて元金を足します。|550,000×0.031×16÷12＝22,733　→　550,000+22,733"
3,単利,"¥240,000を年利率3.6％で11か月間貸すと、期日に受け取る元利合計はいくらか。",1,"￥|＄|€|￡","￥",247920,"元金×利率×期間÷12で利息を求めて元金を足します。|240,000×0.036×11÷12＝7,920　→　240,000+7,920"
3,単利,"¥370,000を年利率5.4％で96日間借りると、期日に支払う元利合計はいくらか。",1,"￥|＄|€|￡","￥",375255,"元金×利率×期間÷365で利息を求めて元金を足します。|370,000×0.054×96÷365＝5,255　→　370,000+5,255"
3,単利,"¥800,000を年利率4.9％で1月26日から4月20日まで貸すと、期日に受け取る元利合計はいくらか。（うるう年、片落とし、円未満切り捨て）",1,"￥|＄|€|￡","￥",809128,"まず、日数を求めますが、うるう年なので、求めた日数に+1日（85日）です。次に、元金×利率×期間÷365で利息を求めて元金を足します。|800,000×0.049×85÷365＝9,128　→　800,000+9,128"
3,単利,"¥560,000を年利率4.1％で67日間借り入れると、期日に支払う元利合計はいくらか。（円未満切り捨て）",1,"￥|＄|€|￡","￥",564214,"元金×利率×期間÷365で利息を求めて元金を足します。|560,000×0.041×67÷365＝4,214　→　560,000+4,214"
3,単利,"元金¥240,000を年利率1.7％で10月24日から12月8日まで貸し付けると、期日に受け取る元利合計はいくらか。（片落とし、円未満切り捨て）",1,"￥|＄|€|￡","￥",240491,"まず日数を求めて（44日）から、元金×利率×期間÷365で利息を求めて元金を足します。|240,000×0.017×44÷365＝491　→　240,000+491"
3,損益,"予定売価¥690,000の商品を予定売価の9掛で販売した。実売価はいくらか。",1,"￥|＄|€|￡","￥",621000,"「○掛」という表現は「○割」と同じです。|690,000×0.9"
3,損益,"予定売価¥120,000の商品を予定売価の8掛けで販売すると、実売価はいくらか。",1,"￥|＄|€|￡","￥",96000,"「○掛」という表現は「○割」と同じです。|120,000×0.8"
3,損益,"1足につき¥2,630の商品を340足仕入れ、仕入諸掛¥44,900を支払った。諸掛込原価はいくらか。",1,"￥|＄|€|￡","￥",939100,"商品代を掛け算で計算してから、仕入諸掛（この商品を仕入れるために払わないといけない経費）を足します。|2,630×340+44,900"
3,損益,"ある商品を1mにつき¥650で840m仕入れ、仕入諸掛¥27,000を支払った。仕入原価はいくらか。",1,"￥|＄|€|￡","￥",573000,"商品代金は650×840で求められるので、それに諸掛を足して求めます。|650×840+27,000"
3,損益,"ある商品を1ダースにつき¥3,800で50ダース仕入れ、仕入諸掛¥9,000を支払った。この商品の仕入原価はいくらか。",1,"￥|＄|€|￡","￥",199000,"商品代金を掛け算で求めてから諸掛を足して求めます。|3,800×50+9,000"
3,損益,"1着につき¥5,060の商品を170着仕入れ、仕入諸掛¥48,100を支払った。諸掛込原価はいくらか。",1,"￥|＄|€|￡","￥",908300,"商品代を掛け算で求めてから、諸掛りを足します。|5,060×170+48,100"
3,損益,"1本につき¥540の商品を仕入れ、代価¥145,800を支払った。仕入数量は何本か。",2,"￥|本","本",270,"合計金額÷1本あたりの金額で求められます。|145,800÷540"
3,損益,"30kgにつき¥5,100の商品を600kg仕入れた。代価はいくらか。",1,"￥|＄|€|￡","￥",102000,"まず1kgでいくらか（5,100÷30）を求めます。その金額に600をかけて求めます。|5,100÷30×600"
3,損益,"10kgにつき¥5,300の商品を300kg販売した。代価はいくらになるか。",1,"￥|＄|€|￡","￥",159000,"まず1kgあたりの金額（5,300÷10）を求めてから300を掛けて求めます。|5,300÷10×300"
3,損益,"ある商品を10個につき¥2,700で仕入れ、代金¥240,300を支払った。仕入数量は何個であったか。",2,"￥|個","個",890,"まず1個あたりの金額（2,700÷10）を求めてから代価を1個あたりで割って求めます。|2,700÷10＝270　→　240,300÷270"
3,損益,"1枚につき¥470の商品を仕入れ、代価¥380,700を支払った。仕入数量は何枚か。",2,"￥|枚","枚",810,"代価（全体の金額）÷単価（1枚あたりの金額）で求められます。|380,700÷470"
3,損益,"100lbにつき¥1,900の商品を販売し、代価¥102,600を受け取った。販売数量は何ポンドであったか。",2,"￥|￡|lb","lb",5400,"まず1lbあたりの金額（1,900÷100）を求めてから代価を1lbあたりの金額で割って求めます。|1,900÷100＝19　→　102,600÷19"
3,損益,"予定売価の18％引きで販売したところ、実売価が¥705,200になった。この商品の予定売価はいくらか。",1,"￥|＄|€|￡","￥",860000,"18％引き（×0.82）が￥705,200なので、逆算（割り算）で求めます。|705,200÷0.82"
3,損益,"10個につき¥8,500の商品を620個仕入れ、仕入原価の34％の利益をみて全部販売した。実売価の総額はいくらか。",1,"￥|＄|€|￡","￥",706180,"まず、1個あたりの金額を求め（￥850）、650個をかけて、全体の金額を求めます。次に、利益を加えた金額を求めます。|8,500÷10×650×1.34"
3,損益,"10箱につき¥9,500の商品を740箱仕入れ、仕入原価の13％の利益をみて全部販売した。利益の総額はいくらか。",1,"￥|＄|€|￡","￥",91390,"まず1箱当たりの金額（9,500÷10）を求めて、740を掛けます。その金額の13％が利益なので、利益額を求めます。|9,500÷10×740×0.13"
3,損益,"10束につき¥6,600の商品を750束仕入れ、仕入原価の27％の利益をみて全部販売した。利益の総額はいくらか。",1,"￥|＄|€|￡","￥",133650,"まず1束あたりの金額（6,600÷10）をもとめて、750を掛けます。その金額の27％が利益なので、掛け算で求めます。|6,600÷10×750×0.27"
3,損益,"1mにつき¥380の商品を470m仕入れた。この商品に仕入原価の2割5分の利益を見込むと利益額はいくらか。",1,"￥|＄|€|￡","￥",44650,"まず掛け算で仕入原価（商品全体の金額）を求めます。その金額の2割5分（0.25）が利益額なので、掛け算で求めます。|380×470×0.25"
3,損益,"1ydにつき¥260の商品を740yd仕入れた。この商品に仕入原価の2割9分の利益を見込むと、利益額はいくらか。",1,"￥|＄|€|￡","￥",55796,"まず掛け算で仕入原価を求めます。次に利益額（その金額の2割9分）を掛け算で求めます。|260×740×0.29"
3,損益,"原価の12％の利益を見込んで¥593,600の予定売価をつけた。この商品の原価はいくらか。",1,"￥|＄|€|￡","￥",530000,"×1.12で￥593,600になるので、逆算します。|593,600÷1.12"
3,損益,"原価¥200,000の商品に、原価の13％の利益を見込んで予定売価をつけた。利益額はいくらか。",1,"￥|＄|€|￡","￥",26000,"利益額を求めればよいので、単純に原価の13%がいくらかを求めればよいです。|200,000×0.13"
3,損益,"原価¥750,000の商品に、原価の35％の利益を見込んで予定売価をつけた。利益額はいくらか。",1,"￥|＄|€|￡","￥",262500,"利益額を求めればよいので、単純に原価の35%がいくらかを求めればよいです。|750,000×0.35"
3,損益,"原価¥670,000の商品に、原価の20％の利益を見込んで予定売価をつけた。予定売価はいくらか。",1,"￥|＄|€|￡","￥",804000,"予定売価は「原価の20％増しの金額」という事になります。|670,000×1.2"
3,損益,"予定売価¥760,000の商品を予定売価の42％引きで販売した。実売価はいくらか。",1,"￥|＄|€|￡","￥",440800,"割合の問題と同じように考えると、「760,000の42％引き（1-0.42）はいくらか。」ということです。|760,000×0.58"
3,損益,"予定売価¥80,000の商品を予定売価の25％引きで販売すると、値引額はいくらか。",1,"￥|＄|€|￡","￥",20000,"「引き」と書いてありますが、問題文をよく読むと、「値引額」を求めればよいので、引いた金額、つまり25%（0.25）がいくらかを求めることになります。|80,000×0.25"
3,損益,"予定売価¥900,000の商品を、予定売価の16％引きで販売した。値引額はいくらであったか。",1,"￥|＄|€|￡","￥",144000,"「引き」と書いてありますが、「値引額」を求めればよいので、16%（0.16）がいくらかを求めることになります。|900,000×0.16"
3,損益,"予定売価¥290,000の商品を予定売価の27％引きで販売した。実売価はいくらか。",1,"￥|＄|€|￡","￥",211700,"「～引き」なので、「1-」です。|290,000×0.73"
3,損益,"予定売価¥760,000の商品を、予定売価の20％引きで販売した。実売価はいくらか。",1,"￥|＄|€|￡","￥",608000,"割合の問題と同じで、「～引き」なので、「1-」です。|760,000×0.8"
3,損益,"ある商品を¥273,500で仕入れ、諸掛り¥16,500を支払った。この商品に諸掛込原価の18％の利益をみて販売すると、売上高はいくらか。",1,"￥|＄|€|￡","￥",342200,"商品代金に諸掛を足すと諸掛込原価になります。これに18％の利益を足した金額（18％増しの金額）が売上高になります。|（273,500+16,500）×1.18"
3,損益,"ある商品を¥456,700で仕入れ、諸掛り¥33,300を支払った。この商品に諸掛込原価の23％の利益をみて販売すると、売上高はいくらか。",1,"￥|＄|€|￡","￥",602700,"商品代金に諸掛を足すと諸掛込原価になります。これに23％の利益を足した金額（23％増しの金額）が売上高になります。|（456,700+33,300）×1.23"
3,損益,"ある商品を予定売価から1割7分引きして¥207,500で販売した。予定売価はいくらであったか。",1,"￥|＄|€|￡","￥",250000,"「引き（1-0.17）」した金額が207,500なので逆算（割り算）で求めます。|207,500÷0.83"
3,損益,"ある商品を予定売価の24％引きで販売し、代金¥273,600を受け取った。予定売価はいくらであったか。",1,"￥|＄|€|￡","￥",360000,"「引き（1-0.24）」した金額が273,600なので逆算（割り算）で求めます。|273,600÷0.76"
3,損益,"1袋につき¥560の商品を仕入れ、代価¥375,200を支払った。仕入数量は何袋か。",2,"￥|袋","袋",670,"総額÷金額で求められます。|375,200÷560"
3,損益,"1脚につき¥2,150の商品を330脚仕入れ、仕入諸掛¥39,100を支払った。諸掛込原価はいくらか。",1,"￥|＄|€|￡","￥",748600,"商品代金の合計と諸掛を足して求めます。|2,150×330+39,100"
3,損益,"原価¥510,000の商品を販売したところ、損失額が¥198,900となった。損失額は原価の何パーセントか。",2,"割|％","％",39,"「ＡはＢの」という問題は「Ａ÷Ｂ」なので、「損失額÷原価」です。|198,900÷510,000"
3,損益,"原価¥870,000の商品に¥217,500の利益をみて販売した。利益額は原価の何パーセントか。",2,"￥|％|割","％",25,"「ＡはＢの～」なので、「利益額÷原価」で求めます。|217,500÷870,000"
3,損益,"原価¥400,000の商品を販売して¥80,000の利益を得た。利益額は原価の何パーセントであったか。",2,"￥|％|割","％",20,"割合の問題のように「Ａ÷Ｂ」と考えましょう。つまり、「利益額÷原価」です。|80,000÷400,000"
3,損益,"原価¥500,000の商品を販売して¥120,000の利益を得た。利益額は原価の何パーセントであったか。",2,"￥|％|割","％",24,"割合の問題のように「Ａ÷Ｂ」と考えましょう。つまり、「利益額÷原価」です。|120,000÷500,000"
3,損益,"予定売価¥500,000の商品を予定売価から¥100,000値引きして販売した。値引額は予定売価の何パーセントであったか。",2,"￥|％|割","％",20,"割合の問題のように「Ａ÷Ｂ」と考えましょう。つまり、「値引額÷予定売価」です。|100,000÷500,000"
3,損益,"予定売価¥600,000の商品を¥102,000値引きして販売した。値引額は予定売価の何パーセントであったか。",2,"￥|％|割","％",17,"割合の問題と同じように「Ａ÷Ｂ」と考えましょう。つまり、「値引額÷予定売価」です。|102,000÷600,000"
3,損益,"原価¥120,000の商品を販売したところ、損失額が¥28,800となった。損失額は原価の何パーセントか。",2,"￥|％|割","％",24,"割合の問題と同じように「Ａ÷Ｂ」と考えましょう。つまり、「損失額÷原価」です。|28,800÷120,000"
3,損益,"原価¥200,000の商品に、原価の13％の利益を見込んで予定売価をつけた。利益額はいくらか。",1,"￥|＄|€|￡","￥",26000,"割合の問題と同じで、原価の13％を求めればよいので、掛け算で求めます。|200,000×0.13"
3,損益,"原価¥300,000の商品に、原価の25％の利益を見込んで予定売価をつけた。予定売価はいくらか。",1,"￥|＄|€|￡","￥",375000,"原価の「25％増し（1.25）」の金額が予定売価になります。|300,000×1.25"
