分野,問題,借方1科目,借方1金額,借方2科目,借方2金額,貸方1科目,貸方1金額,貸方2科目,貸方2金額,解説
商品売買,"商品￥288,000を売り渡し、代金は現金で受け取った。",現金,288000,,,売上,288000,,,商品を売った時は、売上（収益）を使用します。
商品売買,"商品￥384,000を売り渡し、代金は現金で受け取った。",現金,384000,,,売上,384000,,,商品を売った時は、売上（収益）を使用します。
商品売買,"商品￥320,000を売り渡し、代金は現金で受け取った。",現金,320000,,,売上,320000,,,商品を売った時は、売上（収益）を使用します。
商品売買,"商品￥320,000を販売し、代金は現金で受け取った。",現金,320000,,,売上,320000,,,商品を売った時は、売上（収益）を使用します。
商品売買,"商品￥225,000を売り渡し、代金は掛けとした。",売掛金,225000,,,売上,225000,,,商品を売った時（売上）に、掛け（後で払う約束）をしたときは、売掛金（資産）を使用します。
商品売買,"商品￥300,000を売り渡し、代金は掛けとした。",売掛金,300000,,,売上,300000,,,商品を売った時（売上）に、掛け（後で払う約束）をしたときは、売掛金（資産）を使用します。
商品売買,"商品￥250,000を売り渡し、代金は後払いとした。",売掛金,250000,,,売上,250000,,,商品を売った時（売上）に、掛け（後で払う約束）をしたときは、売掛金（資産）を使用します。
商品売買,"商品￥250,000を販売し、代金は掛けとした。",売掛金,250000,,,売上,250000,,,商品を売った時（売上）に、掛け（後で払う約束）をしたときは、売掛金（資産）を使用します。
商品売買,"商品￥378,000を売り渡し、￥220,000は現金で受け取り、残額は掛けとした。",現金,198000,売掛金,180000,売上,378000,,,商品を売った時（売上）に、現金と売掛金の両方を使用するパターンです。
商品売買,"商品￥504,000を売り渡し、￥220,000は現金で受け取り、残額は掛けとした。",現金,264000,売掛金,240000,売上,504000,,,商品を売った時（売上）に、現金と売掛金の両方を使用するパターンです。
商品売買,"商品￥420,000を販売し、￥220,000は現金で受け取り、残額は掛けとした。",現金,220000,売掛金,200000,売上,420000,,,商品を売った時（売上）に、現金と売掛金の両方を使用するパターンです。
商品売買,"商品￥420,000を売り渡し、￥220,000は現金で受け取り、残額は掛けとした。",現金,220000,売掛金,200000,売上,420000,,,商品を売った時（売上）に、現金と売掛金の両方を使用するパターンです。
商品売買,"商品￥207,000を仕入れ、代金は小切手を振り出して支払った。",仕入,207000,,,当座預金,207000,,,代金を支払うときに小切手を相手に渡す（振り出す）と、当座預金（資産）から支払われます。
商品売買,"商品￥276,000を仕入れ、代金は小切手を振り出して支払った。",仕入,276000,,,当座預金,276000,,,代金を支払うときに小切手を相手に渡す（振り出す）と、当座預金（資産）から支払われます。
商品売買,"商品￥230,000を仕入れ、支払いのため、小切手を振り出した。",仕入,230000,,,当座預金,230000,,,代金を支払うときに小切手を相手に渡す（振り出す）と、当座預金（資産）から支払われます。
商品売買,"商品￥230,000について仕入れを行い、代金は小切手を振り出して支払った。",仕入,230000,,,当座預金,230000,,,代金を支払うときに小切手を相手に渡す（振り出す）と、当座預金（資産）から支払われます。
商品売買,"商品￥315,000を売り渡し、代金は小切手で受け取った。",現金,315000,,,売上,315000,,,小切手は現金扱いなので、受け取ったら現金（資産）が増えます。
商品売買,"商品￥420,000を売り渡し、代金は小切手で受け取った。",現金,420000,,,売上,420000,,,小切手は現金扱いなので、受け取ったら現金（資産）が増えます。
商品売買,"商品￥350,000を販売し、代金は小切手で受け取った。",現金,350000,,,売上,350000,,,小切手は現金扱いなので、受け取ったら現金（資産）が増えます。
商品売買,"商品￥350,000を売り渡し、代金は小切手で受け取った。",現金,350000,,,売上,350000,,,小切手は現金扱いなので、受け取ったら現金（資産）が増えます。
商品売買,"商品￥270,000を売り渡し、代金は小切手で受け取り、ただちに当座預金に預け入れた。",当座預金,270000,,,売上,270000,,,小切手は現金扱いですが、ただちに（すぐに）当座預金に預けた場合は、当座預金（資産）に振り込まれたように扱います。
商品売買,"商品￥360,000を売り渡し、代金は小切手で受け取り、ただちに当座預金に預け入れた。",当座預金,360000,,,売上,360000,,,小切手は現金扱いですが、ただちに（すぐに）当座預金に預けた場合は、当座預金（資産）に振り込まれたように扱います。
商品売買,"商品￥300,000を販売し、代金は小切手で受け取り、ただちに当座預金に預け入れた。",当座預金,300000,,,売上,300000,,,小切手は現金扱いですが、ただちに（すぐに）当座預金に預けた場合は、当座預金（資産）に振り込まれたように扱います。
商品売買,"商品￥300,000を売り渡し、代金は小切手で受け取り、ただちに当座預金に預け入れた。",当座預金,300000,,,売上,300000,,,小切手は現金扱いですが、ただちに（すぐに）当座預金に預けた場合は、当座預金（資産）に振り込まれたように扱います。
商品売買,"商品の注文を受け、内金として￥45,000を現金で受け取った。",現金,45000,,,前受金,45000,,,この時点では、「まだ売っていない」ことに注意しましょう。注文ではなく、商品を引き渡したときが「売上」です。
商品売買,"商品の注文を受け、内金として￥60,000を現金で受け取った。",現金,60000,,,前受金,60000,,,この時点では、「まだ売っていない」ことに注意しましょう。注文ではなく、商品を引き渡したときが「売上」です。
商品売買,"商品の注文を受け、内金として￥50,000を現金で受け取った。",現金,50000,,,前受金,50000,,,この時点では、「まだ売っていない」ことに注意しましょう。注文ではなく、商品を引き渡したときが「売上」です。
商品売買,"商品の注文を受け、内金として￥50,000を現金で受け取った。",現金,50000,,,前受金,50000,,,この時点では、「まだ売っていない」ことに注意しましょう。注文ではなく、商品を引き渡したときが「売上」です。
固定資産,"店舗で使用する商品陳列棚￥90,000を購入し、代金は現金で支払った。",備品,90000,,,現金,90000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。
固定資産,"店舗で使用する商品陳列棚￥120,000を購入し、代金は現金で支払った。",備品,120000,,,現金,120000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。
固定資産,"店舗で使用する商品陳列棚￥100,000を購入し、代金は現金払いとした。",備品,100000,,,現金,100000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。
固定資産,"店舗で使用する商品陳列棚￥100,000を購入して、代金は現金で支払った。",備品,100000,,,現金,100000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。
固定資産,"店舗で使用する商品陳列棚￥108,000を購入し、代金は月末に支払うこととした。",備品,108000,,,未払金,108000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。商品以外の代金を後で支払う場合は未払金（負債）となります。
固定資産,"店舗で使用する商品陳列棚￥144,000を購入し、代金は月末に支払うこととした。",備品,144000,,,未払金,144000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。商品以外の代金を後で支払う場合は未払金（負債）となります。
固定資産,"店舗で使用する商品陳列棚￥120,000を購入して、代金は月末に支払うこととした。",備品,120000,,,未払金,120000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。商品以外の代金を後で支払う場合は未払金（負債）となります。
固定資産,"店舗で使用する商品陳列棚￥120,000を購入し、代金は月末に支払うこととした。",備品,120000,,,未払金,120000,,,商品陳列棚はずっと使用するので、備品（資産）として扱います。商品以外の代金を後で支払う場合は未払金（負債）となります。
固定資産,"店舗で使用する机と椅子のセット￥45,000を購入し、代金は現金で支払った。",備品,45000,,,現金,45000,,,机や椅子は備品（資産）です。
固定資産,"店舗で使用する机と椅子のセット￥60,000を購入し、代金は現金で支払った。",備品,60000,,,現金,60000,,,机や椅子は備品（資産）です。
固定資産,"店舗で使用する机と椅子のセット￥50,000を購入し、代金は現金払いとした。",備品,50000,,,現金,50000,,,机や椅子は備品（資産）です。
固定資産,"店舗で使用する机と椅子のセット￥50,000を購入して、代金は現金で支払った。",備品,50000,,,現金,50000,,,机や椅子は備品（資産）です。
固定資産,"営業用の自動車￥900,000を購入し、代金は現金で支払った。",車両運搬具,900000,,,現金,900000,,,自動車は車両運搬具（資産）という勘定科目です。
固定資産,"営業用の自動車￥1,200,000を購入し、代金は現金で支払った。",車両運搬具,1200000,,,現金,1200000,,,自動車は車両運搬具（資産）という勘定科目です。
固定資産,"営業用の自動車￥1,000,000を購入し、代金は現金払いとした。",車両運搬具,1000000,,,現金,1000000,,,自動車は車両運搬具（資産）という勘定科目です。
固定資産,"営業用の自動車￥1,000,000を購入して、代金は現金で支払った。",車両運搬具,1000000,,,現金,1000000,,,自動車は車両運搬具（資産）という勘定科目です。
固定資産,"営業用の自動車￥1,800,000を購入し、代金は小切手を振り出して支払った。",車両運搬具,1800000,,,当座預金,1800000,,,小切手で支払うと当座預金（資産）が減少します。
固定資産,"営業用の自動車￥2,400,000を購入し、代金は小切手を振り出して支払った。",車両運搬具,2400000,,,当座預金,2400000,,,小切手で支払うと当座預金（資産）が減少します。
固定資産,"営業用の自動車￥2,000,000を購入し、代金は小切手払いとした。",車両運搬具,2000000,,,当座預金,2000000,,,小切手で支払うと当座預金（資産）が減少します。
固定資産,"営業用の自動車￥2,000,000を購入して、代金は小切手で支払った。",車両運搬具,2000000,,,当座預金,2000000,,,小切手で支払うと当座預金（資産）が減少します。
資金取引,"現金￥360,000を定期預金として預け入れた。",定期預金,360000,,,現金,360000,,,現金（資産）は手元から減りますが、定期預金（資産）は増えます。
資金取引,"現金￥480,000を定期預金として預け入れた。",定期預金,480000,,,現金,480000,,,現金（資産）は手元から減りますが、定期預金（資産）は増えます。
資金取引,"現金￥400,000を定期預金として預け入れた（現金を預け替えた）。",定期預金,400000,,,現金,400000,,,現金（資産）は手元から減りますが、定期預金（資産）は増えます。
資金取引,"現金￥400,000について定期預金として預け入れた。",定期預金,400000,,,現金,400000,,,現金（資産）は手元から減りますが、定期預金（資産）は増えます。
資金取引,"現金￥315,000を普通預金として預け入れた。",普通預金,315000,,,現金,315000,,,現金（資産）は手元から減りますが、普通預金（資産）は増えます。
資金取引,"現金￥420,000を普通預金として預け入れた。",普通預金,420000,,,現金,420000,,,現金（資産）は手元から減りますが、普通預金（資産）は増えます。
資金取引,"現金￥350,000を普通預金として預け入れた（現金を預け替えた）。",普通預金,350000,,,現金,350000,,,現金（資産）は手元から減りますが、普通預金（資産）は増えます。
資金取引,"現金￥350,000について普通預金として預け入れた。",普通預金,350000,,,現金,350000,,,現金（資産）は手元から減りますが、普通預金（資産）は増えます。
内部処理,"現金￥40,000を従業員のために立て替え払いした。",従業員立替金,40000,,,現金,40000,,,現金（資産）が減っているので、貸方に書きます。また、あとから従業員から返してもらうので、従業員立替金（資産）が増えます。
内部処理,"現金￥54,000を従業員のために立て替え払いした。",従業員立替金,54000,,,現金,54000,,,現金（資産）が減っているので、貸方に書きます。また、あとから従業員から返してもらうので、従業員立替金（資産）が増えます。
内部処理,"現金￥45,000を従業員のために立て替え払いした。",従業員立替金,45000,,,現金,45000,,,現金（資産）が減っているので、貸方に書きます。また、あとから従業員から返してもらうので、従業員立替金（資産）が増えます。
内部処理,"現金￥45,000を従業員のために立て替え払いした。",従業員立替金,45000,,,現金,45000,,,現金（資産）が減っているので、貸方に書きます。また、あとから従業員から返してもらうので、従業員立替金（資産）が増えます。
内部処理,"従業員の出張にあたり、旅費の概算額として￥81,000を現金で仮払いした。",仮払金,81000,,,現金,81000,,,"￥90,000は、「まだ旅費として確定していない」ということに注意しましょう。いくら使うかわかっていないので、仮払金です。"
内部処理,"従業員の出張にあたり、旅費の概算額として￥108,000を現金で仮払いした。",仮払金,108000,,,現金,108000,,,"￥90,000は、「まだ旅費として確定していない」ということに注意しましょう。いくら使うかわかっていないので、仮払金です。"
内部処理,"従業員の出張にあたり、旅費の概算額として￥90,000を現金で仮払いした。",仮払金,90000,,,現金,90000,,,"￥90,000は、「まだ旅費として確定していない」ということに注意しましょう。いくら使うかわかっていないので、仮払金です。"
内部処理,"従業員の出張にあたり、旅費の概算額として￥90,000を現金で仮払いした。",仮払金,90000,,,現金,90000,,,"￥90,000は、「まだ旅費として確定していない」ということに注意しましょう。いくら使うかわかっていないので、仮払金です。"
内部処理,"出張に際し、￥54,000を渡していたが、帰ってきた社員から、残額￥5,000を現金で受け取った。",旅費,50000,現金,4000,仮払金,54000,,,"￥5,000を返されたということは、旅費として使ったのは￥55,000ということがわかります。"
内部処理,"出張に際し、￥72,000を渡していたが、帰ってきた社員から、残額￥5,000を現金で受け取った。",旅費,66000,現金,6000,仮払金,72000,,,"￥5,000を返されたということは、旅費として使ったのは￥55,000ということがわかります。"
内部処理,"出張に際し、￥60,000を渡していたが、帰ってきた社員から、残額￥5,000を現金で受け取った。",旅費,55000,現金,5000,仮払金,60000,,,"￥5,000を返されたということは、旅費として使ったのは￥55,000ということがわかります。"
内部処理,"出張に際し、￥60,000を渡していたが、帰ってきた社員から、残額￥5,000を現金で受け取った。",旅費,55000,現金,5000,仮払金,60000,,,"￥5,000を返されたということは、旅費として使ったのは￥55,000ということがわかります。"
内部処理,"先日、仮受金として処理していた￥45,000は売掛金の回収であったことが判明した。",仮受金,45000,,,売掛金,45000,,,仮受金の内容が判明したときは仮受金（負債）を減らして、判明した勘定科目を使用します。
内部処理,"先日、仮受金として処理していた￥60,000は売掛金の回収であったことが判明した。",仮受金,60000,,,売掛金,60000,,,仮受金の内容が判明したときは仮受金（負債）を減らして、判明した勘定科目を使用します。
内部処理,"先日、仮受金として処理していた￥50,000は売掛金の回収であったことが判明した。",仮受金,50000,,,売掛金,50000,,,仮受金の内容が判明したときは仮受金（負債）を減らして、判明した勘定科目を使用します。
内部処理,"先日、仮受金として処理していた￥50,000は売掛金の回収であったことが判明した。",仮受金,50000,,,売掛金,50000,,,仮受金の内容が判明したときは仮受金（負債）を減らして、判明した勘定科目を使用します。
内部処理,"出張中の従業員から当店の普通預金口座に￥54,000の振り込みがあったが，その内容は不明である。",普通預金,54000,,,仮受金,54000,,,普通預金（資産）が増えたことは事実ですが、なんのお金か不明な場合は仮受金（負債）として処理します。
内部処理,"出張中の従業員から当店の普通預金口座に￥72,000の振り込みがあったが，その内容は不明である。",普通預金,72000,,,仮受金,72000,,,普通預金（資産）が増えたことは事実ですが、なんのお金か不明な場合は仮受金（負債）として処理します。
内部処理,"出張中の従業員から当店の普通預金口座に￥60,000の振り込みがあったが，その内容は不明である。",普通預金,60000,,,仮受金,60000,,,普通預金（資産）が増えたことは事実ですが、なんのお金か不明な場合は仮受金（負債）として処理します。
内部処理,"出張中の従業員から当店の普通預金口座に￥60,000の振り込みがあったが，その内容は不明である。",普通預金,60000,,,仮受金,60000,,,普通預金（資産）が増えたことは事実ですが、なんのお金か不明な場合は仮受金（負債）として処理します。
内部処理,"商品の発送費￥14,000を現金で支払った。",発送費,14000,,,現金,14000,,,商品を取引相手に送った時にかかる費用は発送費として処理します。
内部処理,"商品の発送費￥18,000を現金で支払った。",発送費,18000,,,現金,18000,,,商品を取引相手に送った時にかかる費用は発送費として処理します。
内部処理,"商品の発送費￥15,000を現金で支払った。",発送費,15000,,,現金,15000,,,商品を取引相手に送った時にかかる費用は発送費として処理します。
内部処理,"商品の発送費￥15,000を現金で支払った。",発送費,15000,,,現金,15000,,,商品を取引相手に送った時にかかる費用は発送費として処理します。
内部処理,"郵便局で切手￥4,000分を購入し、現金で支払った。",通信費,4000,,,現金,4000,,,切手はハガキや手紙に貼る（相手とやり取りするため）ものなので、通信費（費用）です。
内部処理,"郵便局で切手￥6,000分を購入し、現金で支払った。",通信費,6000,,,現金,6000,,,切手はハガキや手紙に貼る（相手とやり取りするため）ものなので、通信費（費用）です。
内部処理,"郵便局で切手￥5,000分を購入し、現金で支払った。",通信費,5000,,,現金,5000,,,切手はハガキや手紙に貼る（相手とやり取りするため）ものなので、通信費（費用）です。
内部処理,"郵便局で切手￥5,000分を購入し、現金で支払った。",通信費,5000,,,現金,5000,,,切手はハガキや手紙に貼る（相手とやり取りするため）ものなので、通信費（費用）です。
内部処理,"収入印紙￥18,000分を購入し、現金で支払った。",租税公課,18000,,,現金,18000,,,収入印紙は見た目は切手と似ていますが、税金を納める代わりに貼り付けるものなので、租税公課（費用）です。
内部処理,"収入印紙￥24,000分を購入し、現金で支払った。",租税公課,24000,,,現金,24000,,,収入印紙は見た目は切手と似ていますが、税金を納める代わりに貼り付けるものなので、租税公課（費用）です。
内部処理,"収入印紙￥20,000分を購入し、現金で支払った。",租税公課,20000,,,現金,20000,,,収入印紙は見た目は切手と似ていますが、税金を納める代わりに貼り付けるものなので、租税公課（費用）です。
内部処理,"収入印紙￥20,000分を購入し、現金で支払った。",租税公課,20000,,,現金,20000,,,収入印紙は見た目は切手と似ていますが、税金を納める代わりに貼り付けるものなので、租税公課（費用）です。
